"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"7","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","49","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'DUPLICATE_TAGGING_POLICY_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"8","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","49","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'REMOVE_ALL_DUPLICATE_READS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"9","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","88","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'SINGLE_END_READS_END_POSITION_SIGNIFICANT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"10","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","89","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'SINGLE_END_READS_CLIPPING_IS_END_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"11","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","90","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'FLOW_END_POS_UNCERTAINTY_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"12","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","91","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'FLOW_SKIP_START_HOMOPOLYMERS_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.copynumber.arguments","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\arguments\CopyNumberArgumentValidationUtils.java","4","165","Unnecessary qualifier 'CopyNumberArgumentValidationUtils': 'isSameDictionary' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.copynumber.arguments","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\arguments\CopyNumberArgumentValidationUtils.java","4","196","Unnecessary qualifier 'CopyNumberArgumentValidationUtils': 'isSameDictionary' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.tools.copynumber.arguments","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\arguments\CopyNumberArgumentValidationUtils.java","4","228","Unnecessary qualifier 'CopyNumberArgumentValidationUtils': 'isSameDictionary' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.tools.copynumber.arguments","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\arguments\CopyNumberArgumentValidationUtils.java","4","254","Unnecessary qualifier 'CopyNumberArgumentValidationUtils': 'isSameDictionary' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.copynumber.models","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\models\CopyRatioModeller.java","4","87","Unnecessary qualifier 'CopyRatioModeller': 'OUTLIER_PROBABILITY_INITIAL' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.copynumber.plotting","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\copynumber\plotting\PlottingUtils.java","4","40","Unnecessary qualifier 'PlottingUtils': 'CONTIG_DELIMITER' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.dragstr","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\dragstr\InterleavingListSpliterator.java","4","80","Unnecessary qualifier 'Spliterator': 'SUBSIZED' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.dragstr","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\dragstr\InterleavingListSpliterator.java","4","80","Unnecessary qualifier 'Spliterator': 'IMMUTABLE' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.tools.dragstr","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\dragstr\InterleavingListSpliterator.java","4","80","Unnecessary qualifier 'Spliterator': 'NONNULL' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.tools.dragstr","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\dragstr\InterleavingListSpliterator.java","4","80","Unnecessary qualifier 'Spliterator': 'SIZED' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.funcotator","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\FuncotatorUtils.java","4","2356","Unnecessary qualifier 'FuncotatorUtils': 'sanitizeFuncotationFieldForVcf' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","4","371","Unnecessary qualifier 'DataSourceUtils': 'createLocatableXsvDataSource' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","4","374","Unnecessary qualifier 'DataSourceUtils': 'createSimpleXsvDataSource' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","4","377","Unnecessary qualifier 'DataSourceUtils': 'createCosmicDataSource' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","4","381","Unnecessary qualifier 'DataSourceUtils': 'createGencodeDataSource' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"5","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","4","386","Unnecessary qualifier 'DataSourceUtils': 'createVcfDataSource' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"6","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","805","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"7","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","806","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"8","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","807","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"9","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","808","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"10","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","809","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"11","org.broadinstitute.hellbender.tools.funcotator.dataSources","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\DataSourceUtils.java","3","810","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.broadinstitute.hellbender.tools.funcotator.dataSources.gencode","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\gencode\GencodeFuncotation.java","4","872","Unnecessary qualifier 'VariantClassification': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.funcotator.dataSources.vcf","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\dataSources\vcf\VcfFuncotationFactory.java","4","393","Unnecessary qualifier 'VcfFuncotationFactory': 'renderFieldConflicts' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.funcotator.filtrationRules","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\filtrationRules\AlleleFrequencyExacUtils.java","4","64","Unnecessary qualifier 'java.lang': 'NumberFormatException' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.funcotator.filtrationRules","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\filtrationRules\AlleleFrequencyUtils.java","3","13","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.broadinstitute.hellbender.tools.funcotator.mafOutput","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\funcotator\mafOutput\CustomMafFuncotationCreator.java","4","197","Unnecessary qualifier 'CustomMafFuncotationCreator': 'createCustomMafCountFields' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.reference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\reference\CompareReferences.java","3","352","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.broadinstitute.hellbender.tools.reference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\reference\CompareReferences.java","3","364","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.broadinstitute.hellbender.tools.reference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\reference\ReferencePair.java","3","96","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.broadinstitute.hellbender.tools.spark.pathseq","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\pathseq\PSBwaUtils.java","4","42","Unnecessary qualifier 'PSBwaUtils': 'getAlignedSequenceNames' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.pathseq","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\pathseq\PathSeqPipelineSpark.java","4","196","Unnecessary qualifier 'PathSeqPipelineSpark': 'pairPartitionReads' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","143","Unnecessary qualifier 'BreakEndVariantType': 'getIDString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","144","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","145","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","175","Unnecessary qualifier 'BreakEndVariantType': 'getIDString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"5","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","176","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"6","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","177","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"7","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","207","Unnecessary qualifier 'BreakEndVariantType': 'getIDString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"8","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","208","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"9","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","209","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"10","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","245","Unnecessary qualifier 'BreakEndVariantType': 'getIDString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"11","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","246","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"12","org.broadinstitute.hellbender.tools.spark.sv.discovery","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\BreakEndVariantType.java","4","261","Unnecessary qualifier 'BreakEndVariantType': 'getRefBaseString' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.sv.discovery.inference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\inference\BreakpointComplications.java","3","79","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.broadinstitute.hellbender.tools.spark.sv.discovery.inference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\inference\SegmentedCpxVariantSimpleVariantExtractor.java","4","598","Unnecessary qualifier 'SegmentedCpxVariantSimpleVariantExtractor': 'makeInsertion' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.spark.sv.discovery.inference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\inference\SegmentedCpxVariantSimpleVariantExtractor.java","4","604","Unnecessary qualifier 'SegmentedCpxVariantSimpleVariantExtractor': 'makeInsertion' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.sv.discovery.inference","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\discovery\inference\SimpleNovelAdjacencyInterpreter.java","4","37","Unnecessary qualifier 'SimpleNovelAdjacencyInterpreter': 'inferTypeFromSingleContigSimpleChimera' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","457","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","719","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","771","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","960","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"5","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","1009","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"6","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","1062","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"7","org.broadinstitute.hellbender.tools.spark.sv.evidence","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\evidence\BreakpointEvidence.java","4","1112","Unnecessary qualifier 'ReadEvidence': 'SINGLE_READ_WEIGHT' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","63","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","65","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","67","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","69","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"5","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","71","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"6","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","73","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"7","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","74","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"8","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","76","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"9","org.broadinstitute.hellbender.tools.spark.sv.utils","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\spark\sv\utils\ExternalCommandlineProgramModule.java","3","77","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
