"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\AbstractEvaluationContextFactoryBean.java","3","131","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","67","Unnecessary qualifier 'IdGeneratorConfigurer': 'GENERATOR_CONTEXT_ID' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","71","Unnecessary qualifier 'IdGeneratorConfigurer': 'GENERATOR_CONTEXT_ID' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","73","Unnecessary qualifier 'IdGeneratorConfigurer': 'GENERATOR_CONTEXT_ID' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","76","Unnecessary qualifier 'IdGeneratorConfigurer': 'GENERATOR_CONTEXT_ID' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"5","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","99","Unnecessary qualifier 'IdGeneratorConfigurer': 'theIdGenerator' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"6","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","118","Unnecessary qualifier 'IdGeneratorConfigurer': 'theIdGenerator' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"7","org.springframework.integration.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\IdGeneratorConfigurer.java","4","156","Unnecessary qualifier 'IdGeneratorConfigurer': 'theIdGenerator' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.config.xml","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\xml\IntegrationNamespaceUtils.java","3","70","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","org.springframework.integration.config.xml","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\xml\IntegrationNamespaceUtils.java","4","310","Unnecessary qualifier 'IntegrationNamespaceUtils': 'createElementDescription' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","org.springframework.integration.config.xml","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\xml\IntegrationNamespaceUtils.java","4","358","Unnecessary qualifier 'IntegrationNamespaceUtils': 'setReferenceIfAttributeDefined' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.context","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\context\IntegrationContextUtils.java","3","40","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.dsl","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\BaseIntegrationFlowDefinition.java","3","121","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","org.springframework.integration.dsl","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\BaseIntegrationFlowDefinition.java","4","2760","Unnecessary qualifier 'BaseIntegrationFlowDefinition': 'REFERENCED_REPLY_PRODUCERS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.springframework.integration.dsl","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\BaseIntegrationFlowDefinition.java","4","2766","Unnecessary qualifier 'BaseIntegrationFlowDefinition': 'REFERENCED_REPLY_PRODUCERS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.dsl","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\Transformers.java","3","59","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.dsl.context","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\context\IntegrationFlowBeanPostProcessor.java","3","169","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.springframework.integration.dsl.context","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\context\IntegrationFlowBeanPostProcessor.java","3","208","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.springframework.integration.dsl.context","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\context\IntegrationFlowBeanPostProcessor.java","3","481","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","org.springframework.integration.dsl.context","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\dsl\context\IntegrationFlowBeanPostProcessor.java","3","484","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.springframework.integration.expression","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\expression\ExpressionUtils.java","3","230","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.expression","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\expression\ExpressionUtils.java","3","247","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.gateway","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\gateway\DefaultMethodInvokingMethodInterceptor.java","4","202","Unnecessary qualifier 'MethodHandleLookup': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.graph","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\graph\IntegrationNode.java","3","43","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.graph","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\graph\MicrometerNodeEnhancer.java","3","168","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.graph","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\graph\MicrometerNodeEnhancer.java","3","179","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.handler","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\handler\AbstractMessageProducingHandler.java","3","565","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.handler.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\handler\support\MessagingMethodInvokerHelper.java","3","844","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.springframework.integration.handler.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\handler\support\MessagingMethodInvokerHelper.java","3","847","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.springframework.integration.handler.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\handler\support\MessagingMethodInvokerHelper.java","3","926","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","org.springframework.integration.handler.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\handler\support\MessagingMethodInvokerHelper.java","3","929","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\router\AbstractMappingMessageRouter.java","3","348","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\router\AbstractMappingMessageRouter.java","3","351","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.springframework.integration.splitter","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\splitter\AbstractMessageSplitter.java","3","329","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.support.converter","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\support\converter\AllowListDeserializingConverter.java","3","97","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.util","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\util\ClassUtils.java","3","37","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","org.springframework.integration.util","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\util\ClassUtils.java","3","145","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.util","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\util\ClassUtils.java","3","158","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.util","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\util\FunctionIterator.java","3","107","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.util","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\util\FunctionIterator.java","3","115","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.aggregator","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\aggregator\AbstractCorrelatingMessageHandlerTests.java","3","369","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","95","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","100","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","194","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","200","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","206","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","323","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","org.springframework.integration.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\channel\MixedDispatcherConfigurationScenarioTests.java","3","331","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.config.xml","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\DispatcherMaxSubscribersTests.java","3","32","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.dispatcher","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\dispatcher\RoundRobinDispatcherConcurrentTests.java","3","134","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.gateway","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\gateway\GatewayProxyFactoryBeanTests.java","3","278","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.handler","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\handler\DelayHandlerTests.java","3","297","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.handler.advice","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\handler\advice\AdvisedMessageHandlerTests.java","3","546","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.json","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\json\AbstractJsonInboundMessageMapperTests.java","3","179","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.json","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\json\AbstractJsonInboundMessageMapperTests.java","3","193","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.json","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\json\AbstractJsonInboundMessageMapperTests.java","3","208","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.springframework.integration.json","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\json\AbstractJsonInboundMessageMapperTests.java","3","236","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","org.springframework.integration.json","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\json\AbstractJsonInboundMessageMapperTests.java","3","255","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.mapping","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\mapping\HeaderMapperTests.java","3","434","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.message","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\message\TestHandlers.java","3","31","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","153","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","201","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","250","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","305","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","359","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","413","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","467","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","522","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"9","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\MethodInvokingRouterTests.java","3","577","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.router","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\router\PayloadTypeRouterTests.java","3","93","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.debezium.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-debezium\src\main\java\org\springframework\integration\debezium\support\DebeziumHeaders.java","3","26","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.feed.inbound","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-feed\src\main\java\org\springframework\integration\feed\inbound\FeedEntryMessageSource.java","4","202","Unnecessary qualifier 'FeedEntryMessageSource': 'getLastModifiedDate' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.file","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\FileHeaders.java","3","27","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.file","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\FileWritingMessageHandler.java","3","484","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.file","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\FileWritingMessageHandler.java","3","720","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.file","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\FileWritingMessageHandler.java","3","1074","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.config","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\config\FileWritingMessageHandlerBeanDefinitionBuilder.java","3","41","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.file.dsl","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\dsl\Files.java","3","36","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.file.filters","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\filters\AbstractPersistentAcceptOnceFileListFilter.java","3","177","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.locking","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\locking\FileChannelCache.java","3","67","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.file.locking","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\locking\FileChannelCache.java","3","80","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.springframework.integration.file.locking","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\locking\FileChannelCache.java","3","98","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.remote","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\remote\RemoteFileTemplate.java","3","319","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.file.remote","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\remote\RemoteFileTemplate.java","3","341","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.springframework.integration.file.remote","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\remote\RemoteFileTemplate.java","3","344","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.springframework.integration.file.remote.gateway","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\remote\gateway\AbstractRemoteFileOutboundGateway.java","3","1155","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.remote.session","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\remote\session\CachingSessionFactory.java","3","226","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.splitter","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\splitter\FileSplitter.java","3","341","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.file.splitter","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\splitter\FileSplitter.java","3","431","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.file.support","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\support\FileExistsMode.java","4","79","Unnecessary qualifier 'FileExistsMode': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.file","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\test\java\org\springframework\integration\file\BigMGetTests.java","3","38","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.file.remote","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\test\java\org\springframework\integration\file\remote\RemoteFileTestSupport.java","3","39","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.springframework.integration.file.splitter","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-file\src\test\java\org\springframework\integration\file\splitter\FileSplitterTests.java","3","394","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
